"subjid","ius_total","agegroup"
"SearchCosts-5_S001",14,"5"
"SearchCosts-5_S002",24,"5"
"SearchCosts-5_S003",18,"5"
"SearchCosts-5_S004",16,"5"
"SearchCosts-5_S005",31,"5"
"SearchCosts-5_S006",41,"5"
"SearchCosts-5_S007",18,"5"
"SearchCosts-5_S008",25,"5"
"SearchCosts-5_S009",NA,"5"
"SearchCosts-5_S010",14,"5"
"SearchCosts-5_S011",28,"5"
"SearchCosts-5_S012",23,"5"
"SearchCosts-5_S013",17,"5"
"SearchCosts-5_S014",14,"5"
"SearchCosts-5_S015",17,"5"
"SearchCosts-5_S016",14,"5"
"SearchCosts-5_S017",17,"5"
"SearchCosts-5_S018",19,"5"
"SearchCosts-5_S019",16,"5"
"SearchCosts-5_S020",16,"5"
"SearchCosts-5_S021",19,"5"
"SearchCosts-5_S022",13,"5"
"SearchCosts-5_S023",23,"5"
"SearchCosts-5_S024",33,"5"
"SearchCosts-5_S025",22,"5"
"SearchCosts-5_S026",23,"5"
"SearchCosts-5_S027",16,"5"
"SearchCosts-5_S028",14,"5"
"SearchCosts-5_S029",18,"5"
"SearchCosts-A_S030",15,"5"
"SearchCosts-5_S031",15,"5"
"SearchCosts-5_S032",14,"5"
"SearchCosts-5_S033",25,"5"
"SearchCosts-5_S034",22,"5"
"SearchCosts-5_S035",18,"5"
"SearchCosts-5_S036",24,"5"
"SearchCosts-5_S037",20,"5"
"SearchCosts-5_S038",21,"5"
"SearchCosts-5_S039",18,"5"
"SearchCosts-5_S040",19,"5"
"SearchCosts-5_S041",17,"5"
"SearchCosts-5_S042",14,"5"
"SearchCosts-5_S043",27,"5"
"SearchCosts-11_S001",23,"11"
"SearchCosts-11_S002",20,"11"
"SearchCosts-11_S003",21,"11"
"SearchCosts-11_S004",22,"11"
"SearchCosts-11_S005",31,"11"
"SearchCosts-11_S006",16,"11"
"SearchCosts-11_S007",27,"11"
"SearchCosts-11_S008",24,"11"
"SearchCosts-11_S009",22,"11"
"SearchCosts-11_S010",19,"11"
"SearchCosts-11_S011",16,"11"
"SearchCosts-11_S012",20,"11"
"SearchCosts-11_S013",21,"11"
"SearchCosts-11_S014",28,"11"
"SearchCosts-11_S015",34,"11"
"SearchCosts-11_S016",37,"11"
"SearchCosts-11_S017",25,"11"
"SearchCosts-11_S018",38,"11"
"SearchCosts-11_S019",21,"11"
"SearchCosts-11_S020",35,"11"
"SearchCosts-11_S021",13,"11"
"SearchCosts-11_S022",18,"11"
"SearchCosts-11_S023",19,"11"
"SearchCosts-11_S024",48,"11"
"SearchCosts-11_S025",42,"11"
"SearchCosts-11_S026",12,"11"
"SearchCosts-11_S027",30,"11"
"SearchCosts-11_S028",26,"11"
"SearchCosts-11_S029",16,"11"
"SearchCosts-11_S030",26,"11"
"SearchCosts-11_S031",26,"11"
"SearchCosts-11_S032",16,"11"
"SearchCosts-11_S033",27,"11"
"SearchCosts-11_S034",21,"11"
"SearchCosts-11_S035",33,"11"
"SearchCosts-11_S036",29,"11"
"SearchCosts-11_S037",23,"11"
"SearchCosts-11_S038",26,"11"
"SearchCosts-11_S039",27,"11"
"SearchCosts-11_S040",24,"11"
"SearchCosts-Adult_S001",20,"Adult"
"SearchCosts-Adult_S002",35,"Adult"
"SearchCosts-Adult_S003",40,"Adult"
"SearchCosts-Adult_S004",17,"Adult"
"SearchCosts-Adult_S005",22,"Adult"
"SearchCosts-Adult_S006",45,"Adult"
"SearchCosts-Adult_S007",17,"Adult"
"SearchCosts-Adult_S008",29,"Adult"
"SearchCosts-Adult_S009",31,"Adult"
"SearchCosts-Adult_S010",25,"Adult"
"SearchCosts-Adult_S011",46,"Adult"
"SearchCosts-Adult_S012",20,"Adult"
"SearchCosts-Adult_S013",20,"Adult"
"SearchCosts-Adult_S014",27,"Adult"
"SearchCosts-Adult_S015",27,"Adult"
"SearchCosts-Adult_S016",33,"Adult"
"SearchCosts-Adult_S017",25,"Adult"
"SearchCosts-Adult_S018",22,"Adult"
"SearchCosts-Adult_S019",18,"Adult"
"SearchCosts-Adult_S020",22,"Adult"
"SearchCosts-Adult_S021",43,"Adult"
"SearchCosts-Adult_S022",29,"Adult"
"SearchCosts-Adult_S023",39,"Adult"
"SearchCosts-Adult_S024",NA,"Adult"
"SearchCosts-Adult_S025",16,"Adult"
"SearchCosts-Adult_S026",17,"Adult"
"SearchCosts-Adult_S027",21,"Adult"
"SearchCosts-Adult_S028",32,"Adult"
"SearchCosts-Adult_S029",NA,"Adult"
"SearchCosts-Adult_S030",37,"Adult"
"SearchCosts-Adult_S031",18,"Adult"
"SearchCosts-Adult_S032",43,"Adult"
"SearchCosts-Adult_S033",30,"Adult"
"SearchCosts-Adult_S034",26,"Adult"
"SearchCosts-Adult_S035",16,"Adult"
"SearchCosts-Adult_S036",22,"Adult"
"SearchCosts-Adult_S037",23,"Adult"
"SearchCosts-Adult_S038",28,"Adult"
"SearchCosts-Adult_S039",32,"Adult"
"SearchCosts-Adult_S040",15,"Adult"
"SearchCosts-Adult_S041",24,"Adult"
"SearchCosts-Adult_S042",23,"Adult"
"SearchCosts-Adult_S043",19,"Adult"
"SearchCosts-Adult_S044",27,"Adult"
"SearchCosts-Adult_S045",25,"Adult"
"SearchCosts-Adult_S046",34,"Adult"
"SearchCosts-Adult_S047",14,"Adult"
"SearchCosts-Adult_S048",21,"Adult"
"SearchCosts-Adult_S049",23,"Adult"
