record_id,subjid,dob,age,age_group,sex,sibling_in_study,sibling_in_study_id,subject_information_complete,dot,tot,expr,observer,video,parentrm,endtime,ius_parent_status,tst_status,ist_status,axcpt_status,ius_child_status,ius_short_status,posttestq_tst1,posttestq_tst2,posttestq_ist1,posttestq_ist3,posttestq_ist4,posttestq_ist2,exprnotes_tst,exprnotes_ist,exprnotes_axcpt,exprnotes_ius_child,exprnotes_general,session_notes_complete
SearchCosts-11_S001,SearchCosts-11_S001,5/12/08,,11,1,0,,2,7/29/19,16:00,Sonali,,1,0,17:10,1,1,1,NA,1,NA,2,? then biggest w/ 4 picks   biggest w/ 1 pick,2,NA,NA,25/2- flipped 13 squares ,? then biggest x3,1: flip half squares   4: flips slightly more than 1/2,"ZC( 3/24/20): participant has data in google drive, but axcpt status is blank",,,2
SearchCosts-11_S002,SearchCosts-11_S002,4/30/08,,11,1,0,,2,8/29/19,16:30,Sonali,,1,0,17:00,1,1,1,1,1,NA,2,"-4 picks: unknown, then biggest 3x  -1 pick: depended on sizes of opened cans",2,1,2,"one, because it was easiest",exploitative  -4 picks: ? then biggest 3x  -1 pick: biggest,only flipped one square with both conditions,,,,2
SearchCosts-11_S003,SearchCosts-11_S003,10/25/07,,11,2,0,,2,9/10/19,16:30,Sonali,,1,0,17:15,1,1,1,1,1,NA,1,"random, 4 picks: unopened then biggest  1: biggest",1,1,2,random,"4 picks: exploit, ? then biggest x3  1: biggest",1 press: 1/3 squares flipped  4: 1/5- 1/3 squares flipped,,,,2
SearchCosts-11_S004,SearchCosts-11_S004,11/15/07,,11,1,0,,2,9/18/19,16:00,Ziwei,Sonali,1,0,16:40,1,1,1,1,1,NA,2,"random, but if have 1 pick or unknown picks, pick the biggest splashes; if have more picks, may open the covered cans",2,1,2,random/don't know,patterns are pretty consistent with adults',like to flip over most/all the squares before making decisions,,,"color search: participant named as search costs-11 S004, forgot underline  child assent: child's preferred name is Jack, legal name is John, assent form signed as Jack",2
SearchCosts-11_S005,SearchCosts-11_S005,10/15/07,,11,1,0,,2,10/3/19,16:15,sonali,,1,0,17:00,1,1,1,1,1,NA,1,"random, try to pick differently every time",1,1,2,flipped 14 squares instead of 13 o get more than half and make up for counting wrong,"explorative, 4 picks: ?, than biggest x3 1 pick: biggest","flipped squares until 14 of one color, for both conditions",,,,2
SearchCosts-11_S006,SearchCosts-11_S006,5/21/08,,11,2,0,,2,10/12/19,10:30,ziwei,,1,0,11:05,1,1,1,1,1,NA,NA,choose biggest when the knowns are already big,1,1,2,"flip even number of squares, and evaluate the probability before choosing a color",,,,,"the camera was zoomed in during recording, and the video is zoomed and can't see the screen",2
SearchCosts-11_S007,SearchCosts-11_S007,11/21/07,,11,1,0,,2,10/12/19,13:50,ziwei,,1,1,14:30,1,1,1,1,1,NA,1,"1: biggest, 4: open question mark to see if it's bigger",1,2,2,"choose one, then the one next to it to see if the colors are the same, then the one next to it....repeat and do the math",,,,,"the camera was zoomed in during recording, and the video is zoomed and can't see the screen",2
SearchCosts-11_S008,SearchCosts-11_S008,11/25/07,,11,2,0,,2,10/13/19,13:00,ziwei,,0,0,13:45,1,1,1,1,1,NA,1,"if the known cans are big, pick them. If the rests were small, pick the question mark",2,1,2,"start with flipping 10 squares, if it's way majority, pick the color. If it's close, pick 5 more squares. ",,,"the child said during break that if there are other friends, the child would automatically press red. ",,,2
SearchCosts-11_S009,SearchCosts-11_S009,1/6/08,,11,1,0,,2,10/15/19,16:30,Sonali,,1,0,17:20,1,1,1,1,1,NA,1,4 picks: largest 3x then ?  1: largest    Liked opening uncovered cans when it was the largest,1,1,2,3 rows of 3 then one random one,exploitative ,"1x: 10-15 squares  4x: same as 1x, tapped each square once before tapping again    CHECK ID MAY HAVE ENTERED AS S024",,,,2
SearchCosts-11_S010,SearchCosts-11_S010,7/28/08,,11,1,0,,2,10/19/19,11:00,Ziwei,,1,0,11:45,1,1,1,1,1,NA,1,pick the biggest splashes,1,1,2,"see which color has 13, means there's more of it","react very quickly, sometimes pick before the number of picks is shown. Like to pick question mark as first pick ",,"Psychopy 2 quit unexpectedly, has two files, uploaded the second(completed) one to Gdrive",,,2
