"id","subjid","dob","age","sex","tot","expr","axcpt_status","exprnotes_axcpt","age_group","age_11","age_adult","acc_count_ax","acc_count_ay","acc_count_bx","acc_count_by","rt_count_ax","rt_count_ay","rt_count_bx","rt_count_by","rt_mean.ax","rt_mean.ay","rt_mean.bx","rt_mean.by","rt_var.ax","rt_var.ay","rt_var.bx","rt_var.by","zrt_mean.ax","zrt_mean.ay","zrt_mean.bx","zrt_mean.by","overall_acc","acc_outlier","acc_mean.ax","acc_mean.ay","acc_mean.bx","acc_mean.by","exclude_by60","exclude_acc60","mean_err.ax","mean_err.ay","mean_err.bx","mean_err.by","acc_var.ax","acc_var.ay","acc_var.bx","acc_var.by","PBI_rt","AY_BXdiff","PBI_zrt","PBIzrt_outlier","logrt_mean.ax","logrt_mean.ay","logrt_mean.bx","logrt_mean.by","PBI_logRT","PBI_error","dcon","dot","abias"
"SearchCosts-11_S001","SearchCosts-11_S001","5/12/08",11.2197928653625,1,16:00:00,"Sonali",NA,"ZC( 3/24/20): participant has data in google drive, but axcpt status is blank","11",1,0,41,14,14,15,41,14,14,15,605.331891920488,774.547270365429,537.422214235071,522.987922032667,37756.1066098253,37831.1127136573,73135.5670851147,34239.3873021855,-0.00993174108341941,0.760986111493715,-0.31931723176139,-0.385077528788823,1,0,1,1,1,1,0,0,0.0119047619047619,0.0333333333333333,0.0333333333333333,0.03125,0,0,0,0,0.180739764844883,237.125056130357,2.44595757778956,0,6.35550357634436,6.62361975911376,6.18048996261982,6.19379246636484,0.0346084035613793,0,3.28970725390294,"7/29/19",-5.55111512312578e-16
"SearchCosts-11_S002","SearchCosts-11_S002","4/30/08",11.3376075401392,1,16:30:00,"Sonali",1,NA,"11",1,0,53,12,11,11,53,12,11,11,532.105913702038,651.8549720445,492.928028106636,528.036637739818,10984.6200883065,13538.8407287287,20123.6016792222,21202.2919224988,-0.0894588677546667,0.880089328711592,-0.406662600678833,-0.122405758734054,1,0,1,1,1,1,0,0,0.00925925925925926,0.0384615384615385,0.0416666666666667,0.0416666666666667,0,0,0,0,0.138827134851655,158.926943937864,2.71795370476292,0,6.25818535426617,6.46693100922932,6.16345909571637,6.23500207738786,0.024027121172933,-0.0399999999999999,3.28970725390294,"8/29/19",-5.55111512312578e-16
"SearchCosts-11_S003","SearchCosts-11_S003","10/25/07",11.8855827716587,2,16:30:00,"Sonali",1,NA,"11",1,0,53,11,9,10,53,11,8,10,535.566361445528,715.470465746364,581.308513879875,544.2435026165,50056.4997244122,49905.1971840955,145068.574787112,142330.021326177,-0.111788966993522,0.5664021968784,0.0606469188803303,-0.0790784266048392,0.987951807228916,0,1,1,0.888888888888889,1,0,0,0.00925925925925926,0.0416666666666667,0.15,0.0454545454545455,0,0,0.111111111111111,0,0.103457839750886,134.161951866489,0.806564055809416,0,6.2138878996715,6.5368304997647,6.19646623712354,6.09988499671395,0.0267302545188575,-0.565217391304348,2.86549397579882,"9/10/19",-5.55111512312578e-16
"SearchCosts-11_S004","SearchCosts-11_S004","11/15/07",11.8498502201034,1,16:00:00,"Ziwei",1,NA,"11",1,0,51,12,10,8,51,9,10,8,405.681577383294,611.592796113556,327.6210069656,340.3327465055,18103.8502355445,29921.9123382647,44079.7938895145,20023.4477609868,-0.0421414328845127,1.18890809879908,-0.508830082722192,-0.432832373107461,0.962962962962963,0,1,0.75,1,1,0,0,0.00961538461538462,0.269230769230769,0.0454545454545455,0.0555555555555556,0,0.204545454545455,0,0,0.302350527874453,283.971789147956,2.49638738701609,0,5.956278527073,6.38595681779514,5.68148795400024,5.75729067389103,0.0583776331374987,0.711111111111111,3.28970725390294,"9/18/19",0.485181938377695
"SearchCosts-11_S005","SearchCosts-11_S005","10/15/07",11.9759986848594,1,16:15:00,"sonali",1,NA,"11",1,0,52,12,10,11,52,12,10,11,492.350184000519,595.976928869917,277.9519081115,278.759631243727,26102.2498788054,16189.2825083262,6013.24755840593,9247.06835202156,0.216413057458836,0.802951534875776,-0.997104152400944,-0.992532352941759,1,0,1,1,1,1,0,0,0.00943396226415094,0.0384615384615385,0.0454545454545455,0.0416666666666667,0,0,0,0,0.363902651223739,318.025020758417,-9.27134390574663,1,6.15832826012501,6.36976333275151,5.59830748065802,5.58459826979166,0.064459499289486,-0.0833333333333333,3.28970725390294,"10/3/19",-5.55111512312578e-16
"SearchCosts-11_S006","SearchCosts-11_S006","5/21/08",11.4006246917639,2,10:30:00,"ziwei",1,NA,"11",1,0,51,12,12,11,48,10,11,11,429.047082861271,547.1173763276,485.400568355273,564.683524044727,16998.9196087119,27532.7560942716,74844.2331191577,73415.6281436488,-0.219775637456235,0.410705709799133,0.0811452835790502,0.504506852776216,0.930232558139535,0,0.941176470588235,0.833333333333333,0.916666666666667,1,0,0,0.0673076923076923,0.192307692307692,0.115384615384615,0.0416666666666667,0.0564705882352941,0.151515151515152,0.0833333333333333,0,0.0597731093102531,61.7168079723273,0.670041192672116,0,6.02197945992039,6.26647522173217,6.0376817062276,6.229247958654,0.0185948144878309,0.25,2.94772059846244,"10/12/19",0.298652452630049
"SearchCosts-11_S007","SearchCosts-11_S007","11/21/07",11.8991679909401,1,13:50:00,"ziwei",1,NA,"11",1,0,51,11,12,10,51,11,12,10,473.544822019706,650.255073200636,325.55522521325,362.2699499132,39251.4384573495,12043.8345908653,14006.0821096846,17637.7974820361,0.058056899914223,0.970172484479664,-0.705812862584825,-0.516304487388378,1,0,1,1,1,1,0,0,0.00961538461538462,0.0416666666666667,0.0384615384615385,0.0454545454545455,0,0,0,0,0.33274894568664,324.699847987386,6.33979325228111,0,6.0895143533979,6.46454495601114,5.73514144525571,5.83756221985275,0.0597887098704182,0.0399999999999999,3.28970725390294,"10/12/19",-5.55111512312578e-16
"SearchCosts-11_S008","SearchCosts-11_S008","11/25/07",11.8909483624673,2,13:00:00,"ziwei",1,"the child said during break that if there are other friends, the child would automatically press red.","11",1,0,53,11,11,11,53,11,11,11,644.690738534245,659.950299696545,485.980250618727,479.222015901091,70050.4882194602,25239.4458896075,62690.4432360931,38875.3919172462,0.157390735651972,0.218173639237389,-0.47479548401447,-0.501715336091513,1,0,1,1,1,1,0,0,0.00925925925925926,0.0416666666666667,0.0416666666666667,0.0416666666666667,0,0,0,0,0.151815525844873,173.970049077818,-2.70035126531734,0,6.40482619920879,6.46316993134442,6.06902756598333,6.09889945353405,0.0314503793484854,0,3.28970725390294,"10/13/19",-5.55111512312578e-16
"SearchCosts-11_S009","SearchCosts-11_S009","1/6/08",11.7813533161634,1,16:30:00,"Sonali",1,NA,"11",1,0,51,11,8,9,50,10,8,9,508.54236602784,578.098320961,243.246227502875,283.872524897333,9786.04778428113,10198.9558350657,605.923817228853,7836.99976036458,0.313684922196637,0.800816042628045,-1.5443012894797,-1.25977735780829,0.974683544303797,0,0.980392156862745,0.909090909090909,1,1,0,0,0.0288461538461538,0.125,0.0555555555555556,0.05,0.0196078431372549,0.0909090909090909,0,0,0.407687728717971,334.852093458125,-3.15422174419508,0,6.21413199069878,6.347733744566,5.48954074301039,5.61415169438215,0.0724992060001917,0.384615384615385,3.70677012776093,"10/15/19",0.363369382345262
"SearchCosts-11_S010","SearchCosts-11_S010","7/28/08",11.2334922461505,1,11:00:00,"Ziwei",1,"Psychopy 2 quit unexpectedly, has two files, uploaded the second(completed) one to Gdrive","11",1,0,52,12,8,11,52,12,8,11,476.799098344923,604.169408480333,505.49674034125,459.319071336273,27295.7115938073,33799.9532224435,31816.1583515885,30118.8951243081,-0.108850056776426,0.626093601780172,0.0567391608230716,-0.209712141415679,1,0,1,1,1,1,0,0,0.00943396226415094,0.0384615384615385,0.0555555555555556,0.0416666666666667,0,0,0,0,0.088921040119922,98.6726681390834,0.833812423976968,0,6.12499725728703,6.36720222125881,6.17504450652923,6.05536307919425,0.0153208367607577,-0.181818181818182,3.28970725390294,"10/19/19",-5.55111512312578e-16
