"id","record_id","subjid","dob","age","sex","dot","tst_status","posttestq_tst1","posttestq_tst2","exprnotes_tst","exprnotes_general","explore_mean_h0","explore_mean_h1","explore_mean_h4","exploit_mean_h0","exploit_mean_h1","exploit_mean_h4","other_mean_h0","other_mean_h1","other_mean_h4","agegroup","trialcount","reward_total","explore_mean","exploit_mean","other_mean","agegroup5","agegroup11","agegroupa","pref_novelty","adaptation","male","dotc","dobc","completed"
"SearchCosts-11_S001","SearchCosts-11_S001","SearchCosts-11_S001","5/12/08",11.1961722488038,1,"7/29/19",1,2,"? then biggest w/ 4 picks   biggest w/ 1 pick","? then biggest x3","",0.333333333333333,0,0.5,0.666666666666667,1,0.5,0,0,0,"11",18,292.2637112,0.277777777777778,0.722222222222222,0,0,1,0,0,0.5,1,2019-07-29,2008-05-12,1
"SearchCosts-11_S002","SearchCosts-11_S002","SearchCosts-11_S002","4/30/08",11.3137388926863,1,"8/29/19",1,2,"-4 picks: unknown, then biggest 3x  -1 pick: depended on sizes of opened cans","exploitative  -4 picks: ? then biggest 3x  -1 pick: biggest","",0.333333333333333,0.333333333333333,0.5,0.666666666666667,0.666666666666667,0.5,0,0,0,"11",18,298.3578362,0.388888888888889,0.611111111111111,0,0,1,0,0,0.166666666666667,1,2019-08-29,2008-04-30,1
"SearchCosts-11_S003","SearchCosts-11_S003","SearchCosts-11_S003","10/25/07",11.8605604921394,2,"9/10/19",1,1,"random, 4 picks: unopened then biggest  1: biggest","4 picks: exploit, ? then biggest x3  1: biggest","",0.833333333333333,0,0.833333333333333,0.166666666666667,1,0.166666666666667,0,0,0,"11",18,277.8196237,0.555555555555556,0.444444444444444,0,0,1,0,1,0.833333333333333,0,2019-09-10,2007-10-25,1
"SearchCosts-11_S004","SearchCosts-11_S004","SearchCosts-11_S004","11/15/07",11.825017088175,1,"9/18/19",1,2,"random, but if have 1 pick or unknown picks, pick the biggest splashes; if have more picks, may open the covered cans","patterns are pretty consistent with adults'","color search: participant named as search costs-11 S004, forgot underline  child assent: child's preferred name is Jack, legal name is John, assent form signed as Jack",0.333333333333333,0,0.833333333333333,0.666666666666667,1,0.166666666666667,0,0,0,"11",18,295.8393863,0.388888888888889,0.611111111111111,0,0,1,0,0,0.833333333333333,1,2019-09-18,2007-11-15,1
"SearchCosts-11_S005","SearchCosts-11_S005","SearchCosts-11_S005","10/15/07",11.9507860560492,1,"10/3/19",1,1,"random, try to pick differently every time","explorative, 4 picks: ?, than biggest x3 1 pick: biggest","",0.666666666666667,0.666666666666667,1,0.333333333333333,0.333333333333333,0,0,0,0,"11",18,279.8257112,0.777777777777778,0.222222222222222,0,0,1,0,1,0.333333333333333,1,2019-10-03,2007-10-15,1
"SearchCosts-11_S006","SearchCosts-11_S006","SearchCosts-11_S006","5/21/08",11.3766233766234,2,"10/12/19",1,NA,"choose biggest when the knowns are already big","","the camera was zoomed in during recording, and the video is zoomed and can't see the screen",0.333333333333333,0.166666666666667,0.5,0.666666666666667,0.833333333333333,0.5,0,0,0,"11",18,289.0920262,0.333333333333333,0.666666666666667,0,0,1,0,NA,0.333333333333333,0,2019-10-12,2008-05-21,1
"SearchCosts-11_S007","SearchCosts-11_S007","SearchCosts-11_S007","11/21/07",11.8742310321258,1,"10/12/19",1,1,"1: biggest, 4: open question mark to see if it's bigger","","the camera was zoomed in during recording, and the video is zoomed and can't see the screen",0.5,0.166666666666667,0.833333333333333,0.5,0.833333333333333,0.166666666666667,0,0,0,"11",18,287.9040262,0.5,0.5,0,0,1,0,1,0.666666666666667,1,2019-10-12,2007-11-21,1
"SearchCosts-11_S008","SearchCosts-11_S008","SearchCosts-11_S008","11/25/07",11.866028708134,2,"10/13/19",1,1,"if the known cans are big, pick them. If the rests were small, pick the question mark","","",0,0,0.5,1,1,0.5,0,0,0,"11",18,299.4534663,0.166666666666667,0.833333333333333,0,0,1,0,1,0.5,0,2019-10-13,2007-11-25,1
"SearchCosts-11_S009","SearchCosts-11_S009","SearchCosts-11_S009","1/6/08",11.7566643882433,1,"10/15/19",1,1,"4 picks: largest 3x then ?  1: largest    Liked opening uncovered cans when it was the largest","exploitative ","",0,0,0.333333333333333,1,1,0.666666666666667,0,0,0,"11",18,291.4933962,0.111111111111111,0.888888888888889,0,0,1,0,1,0.333333333333333,1,2019-10-15,2008-01-06,1
"SearchCosts-11_S010","SearchCosts-11_S010","SearchCosts-11_S010","7/28/08",11.2098427887902,1,"10/19/19",1,1,"pick the biggest splashes","react very quickly, sometimes pick before the number of picks is shown. Like to pick question mark as first pick ","",0.5,0.166666666666667,0.666666666666667,0.5,0.833333333333333,0.333333333333333,0,0,0,"11",18,290.8586112,0.444444444444444,0.555555555555556,0,0,1,0,1,0.5,1,2019-10-19,2008-07-28,1
"SearchCosts-11_S011","SearchCosts-11_S011","SearchCosts-11_S011","11/21/07",11.9316473000684,1,"11/2/19",1,1,"If all small, then the question mark is probably bigger","at first the child didn't choose question mark, may be because the child thinks can only choose the known biggest splash. Restate the rule during brake. ","",0.333333333333333,0.166666666666667,0.333333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0,0,0,"11",18,311.9669,0.277777777777778,0.722222222222222,0,0,1,0,1,0.166666666666667,1,2019-11-02,2007-11-21,1
"SearchCosts-11_S012","SearchCosts-11_S012","SearchCosts-11_S012","2/6/08",11.7457279562543,1,"11/11/19",1,2,"more picks= ? then biggest  1 pick= biggest  unknown= biggest then if more choices ?, then biggest after that","explore with 4 picks  unknown- biggest then if more picks ? then the biggest","",0.166666666666667,0.166666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.333333333333333,0,0,0,"11",18,296.3685262,0.333333333333333,0.666666666666667,0,0,1,0,0,0.5,1,2019-11-11,2008-02-06,1
"SearchCosts-11_S013","SearchCosts-11_S013","SearchCosts-11_S013","10/5/08",11.1004784688995,1,"11/17/19",1,2,"if known cans are big, won't open the question mark  if known cans are small, open question mark","the child thought choose the same cans again wouldn't gather more paint, clarified this after the first trial  unknown horizon: pick ? first","",0.333333333333333,0.5,0.833333333333333,0.666666666666667,0.5,0.166666666666667,0,0,0,"11",18,261.6508512,0.555555555555556,0.444444444444444,0,0,1,0,0,0.333333333333333,1,2019-11-17,2008-10-05,1
"SearchCosts-11_S014","SearchCosts-11_S014","SearchCosts-11_S014","12/6/07",11.9507860560492,1,"11/24/19",1,2,"4 clicks: ?, then biggest  1 click: biggest  unknown: go to next store","choose ? as first pick at the beginning, then change to choose based on the number of picks","",0.666666666666667,0.166666666666667,0.5,0.333333333333333,0.833333333333333,0.5,0,0,0,"11",18,284.374755,0.444444444444444,0.555555555555556,0,0,1,0,0,0.333333333333333,1,2019-11-24,2007-12-06,1
"SearchCosts-11_S015","SearchCosts-11_S015","SearchCosts-11_S015","9/6/08",11.2153110047847,2,"11/30/19",1,2," guessed","exploratory: 1 click: biggest  4 clicks: biggest, ?, biggest. second biggest  unknown: biggest first, then ?, similar to 4 clicks","AXCPT quit during practice, restarted and named trial 2",0,0,0.666666666666667,1,1,0.333333333333333,0,0,0,"11",18,252.7763575,0.222222222222222,0.777777777777778,0,0,1,0,0,0.666666666666667,0,2019-11-30,2008-09-06,1
"SearchCosts-11_S016","SearchCosts-11_S016","SearchCosts-11_S016","3/8/08",11.7129186602871,1,"11/30/19",1,1,"1 pick: biggest  4 picks: ? ,then biggest  ","","",0,0,1,1,1,0,0,0,0,"11",18,287.2282862,0.333333333333333,0.666666666666667,0,0,1,0,1,1,1,2019-11-30,2008-03-08,1
"SearchCosts-11_S017","SearchCosts-11_S017","SearchCosts-11_S017","2/18/08",11.7812713602187,2,"12/6/19",1,1,"4:? first, then biggest  1: biggest","","",0,0,0.666666666666667,1,1,0.333333333333333,0,0,0,"11",18,288.9545463,0.222222222222222,0.777777777777778,0,0,1,0,1,0.666666666666667,0,2019-12-06,2008-02-18,1
"SearchCosts-11_S018","SearchCosts-11_S018","SearchCosts-11_S018","6/6/08",11.6008202323992,1,"1/18/20",1,NA,"pick ? when the rests are small; pick known amounts when it's really big","","",0.333333333333333,0,0.5,0.666666666666667,1,0.5,0,0,0,"11",18,306.2866,0.277777777777778,0.722222222222222,0,0,1,0,NA,0.5,1,2020-01-18,2008-06-06,1
"SearchCosts-11_S019","SearchCosts-11_S019","SearchCosts-11_S019","7/26/08",11.4750512645249,2,"1/22/20",1,1,"finger","sometimes explore, sometimes biggest, but not repeated biggest","",0.5,0,0.666666666666667,0.5,1,0.333333333333333,0,0,0,"11",18,261.3252875,0.388888888888889,0.611111111111111,0,0,1,0,1,0.666666666666667,0,2020-01-22,2008-07-26,1
"SearchCosts-11_S020","SearchCosts-11_S020","SearchCosts-11_S020","1/11/09",11.012987012987,1,"1/22/20",1,2,"knew bigger based on size of others, choose bigger","4 clicks: ?, then biggest x3  1 click: either ? or biggest(some hesitation)  ","",0.666666666666667,0.166666666666667,0.5,0.333333333333333,0.833333333333333,0.5,0,0,0,"11",18,289.5907712,0.444444444444444,0.555555555555556,0,0,1,0,0,0.333333333333333,1,2020-01-22,2009-01-11,1
"SearchCosts-11_S021","SearchCosts-11_S021","SearchCosts-11_S021","6/20/08",11.5762132604238,1,"1/23/20",1,2,"if all are small, choose the question mark","","typed an extra c in time search name. renamed in google drive",0,0.166666666666667,0.5,1,0.833333333333333,0.5,0,0,0,"11",18,296.94207,0.222222222222222,0.777777777777778,0,0,1,0,0,0.333333333333333,1,2020-01-23,2008-06-20,1
"SearchCosts-11_S022","SearchCosts-11_S022","SearchCosts-11_S022","5/3/08",11.7156527682843,1,"1/26/20",1,1,"1 click: biggest  4 clicks: ? ,then biggest  unknown: biggest first, then ?","","",0.333333333333333,0,0.833333333333333,0.666666666666667,1,0.166666666666667,0,0,0,"11",18,290.2234962,0.388888888888889,0.611111111111111,0,0,1,0,1,0.833333333333333,1,2020-01-26,2008-05-03,1
"SearchCosts-11_S023","SearchCosts-11_S023","SearchCosts-11_S023","7/20/08",11.5023923444976,1,"1/26/20",1,2,"Looked at which was biggest","","",0.333333333333333,0,0.833333333333333,0.666666666666667,1,0.166666666666667,0,0,0,"11",18,295.724925,0.388888888888889,0.611111111111111,0,0,1,0,0,0.833333333333333,1,2020-01-26,2008-07-20,1
"SearchCosts-11_S024","SearchCosts-11_S024","SearchCosts-11_S024","10/22/08",11.2535885167464,2,"1/29/20",1,2,"biggest paint cans","choose the biggest with all conditions","",0,0,0,1,1,1,0,0,0,"11",18,306.628225,0,1,0,0,1,0,0,0,0,2020-01-29,2008-10-22,1
"SearchCosts-11_S025","SearchCosts-11_S025","SearchCosts-11_S025","10/22/08",11.2563226247437,2,"1/30/20",1,1,"if all small, choose question mark","","",0,0.166666666666667,0.666666666666667,1,0.833333333333333,0.333333333333333,0,0,0,"11",18,291.0394962,0.277777777777778,0.722222222222222,0,0,1,0,1,0.5,0,2020-01-30,2008-10-22,1
"SearchCosts-11_S026","SearchCosts-11_S026","SearchCosts-11_S026","7/29/08",11.4969241285031,2,"2/2/20",1,2,"don't know","","",0.166666666666667,0.333333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.333333333333333,0,0,0,"11",18,290.2051313,0.388888888888889,0.611111111111111,0,0,1,0,0,0.333333333333333,0,2020-02-02,2008-07-29,1
"SearchCosts-11_S027","SearchCosts-11_S027","SearchCosts-11_S027","7/17/08",11.5297334244703,1,"2/2/20",1,1,"saw a pattern, the bottom ones were bigger","","",0.833333333333333,0.666666666666667,1,0.166666666666667,0.333333333333333,0,0,0,0,"11",18,277.3403212,0.833333333333333,0.166666666666667,0,0,1,0,1,0.333333333333333,1,2020-02-02,2008-07-17,1
"SearchCosts-11_S028","SearchCosts-11_S028","SearchCosts-11_S028","7/4/08",11.5734791524265,2,"2/5/20",1,2,"biggest with both 1 and 4 picks","4 picks: ? then biggest  1: ? or biggest","",0.833333333333333,0.333333333333333,0.666666666666667,0.166666666666667,0.666666666666667,0.333333333333333,0,0,0,"11",18,278.8767612,0.611111111111111,0.388888888888889,0,0,1,0,0,0.333333333333333,0,2020-02-05,2008-07-04,1
"SearchCosts-11_S029","SearchCosts-11_S029","SearchCosts-11_S029","9/15/08",11.3656869446343,2,"2/2/20",1,2,"if the known cans are super big, the ? won't be as big","","",0.166666666666667,0,0.666666666666667,0.833333333333333,1,0.333333333333333,0,0,0,"11",18,289.1617012,0.277777777777778,0.722222222222222,0,0,1,0,0,0.666666666666667,0,2020-02-02,2008-09-15,1
"SearchCosts-11_S030","SearchCosts-11_S030","SearchCosts-11_S030","4/1/08",11.8414217361586,2,"2/9/20",1,2,"picked the biggest","skipped the introduction by accident and had to explain rules while practicing ","",0,0,0.666666666666667,1,1,0.333333333333333,0,0,0,"11",18,303.904285,0.222222222222222,0.777777777777778,0,0,1,0,0,0.666666666666667,0,2020-02-09,2008-04-01,1
"SearchCosts-11_S031","SearchCosts-11_S031","SearchCosts-11_S031","5/15/08",11.7402597402597,1,"2/16/20",1,2,"helper, random","","",0,0,1,1,1,0,0,0,0,"11",18,290.318785,0.333333333333333,0.666666666666667,0,0,1,0,0,1,1,2020-02-16,2008-05-15,1
"SearchCosts-11_S032","SearchCosts-11_S032","SearchCosts-11_S032","1/27/09",11.0348598769651,1,"2/15/20",1,2,"size, seems small, open?","","",0,0.166666666666667,0.5,1,0.833333333333333,0.5,0,0,0,"11",18,310.481425,0.222222222222222,0.777777777777778,0,0,1,0,0,0.333333333333333,1,2020-02-15,2009-01-27,1
"SearchCosts-11_S033","SearchCosts-11_S033","SearchCosts-11_S033","11/23/08",11.2125768967874,1,"2/15/20",1,2,"choose bigger amount","","parent left after signing consent form. Had to call parent to come back after AXCPT(all computer games). Meet parents back upstairs, did not have time to debrief, and gave a debrief form instead. ",0.166666666666667,0,0.5,0.833333333333333,1,0.5,0,0,0,"11",18,304.6746,0.222222222222222,0.777777777777778,0,0,1,0,0,0.5,1,2020-02-15,2008-11-23,1
"SearchCosts-11_S034","SearchCosts-11_S034","SearchCosts-11_S034","12/4/08",11.187969924812,4,"2/17/20",1,2,"estimated difference between paint cans and picked biggest","exploitative, 4: ? then biggest  1: biggest","",0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0,0,0,"11",18,298.3237662,0.444444444444444,0.555555555555556,0,0,1,0,0,0.333333333333333,NA,2020-02-17,2008-12-04,1
"SearchCosts-11_S035","SearchCosts-11_S035","SearchCosts-11_S035","2/1/09",11.0348598769651,1,"2/20/20",1,2,"store helper, then biggest ones","","",0,0,0.166666666666667,1,1,0.833333333333333,0,0,0,"11",18,303.494025,0.0555555555555555,0.944444444444444,0,0,1,0,0,0.166666666666667,1,2020-02-20,2009-02-01,1
"SearchCosts-11_S036","SearchCosts-11_S036","SearchCosts-11_S036","9/22/08",11.3984962406015,1,"2/21/20",1,2,"picked ? if thought it had the biggest but other wise picked the biggest available","4: ? then biggest 3 times  1: biggest","",0.666666666666667,0.166666666666667,0.833333333333333,0.333333333333333,0.833333333333333,0.166666666666667,0,0,0,"11",18,293.5198012,0.555555555555556,0.444444444444444,0,0,1,0,0,0.666666666666667,1,2020-02-21,2008-09-22,1
"SearchCosts-11_S037","SearchCosts-11_S037","SearchCosts-11_S037","9/17/08",11.4285714285714,2,"2/27/20",1,2,"if it's big, not take chances","","",0.5,0.333333333333333,0.666666666666667,0.5,0.666666666666667,0.333333333333333,0,0,0,"11",18,298.9467562,0.5,0.5,0,0,1,0,0,0.333333333333333,0,2020-02-27,2008-09-17,1
"SearchCosts-11_S038","SearchCosts-11_S038","SearchCosts-11_S038","9/25/08",11.4149008885851,2,"3/1/20",1,2,"Chose ? if all others looked small","4: ? then other 3  1: biggest","",0,0,0.5,1,1,0.5,0,0,0,"11",18,239.3694087,0.166666666666667,0.833333333333333,0,0,1,0,0,0.5,0,2020-03-01,2008-09-25,1
"SearchCosts-11_S039","SearchCosts-11_S039","SearchCosts-11_S039","11/4/08",11.3164730006835,2,"3/5/20",1,2,"based on the paint in the can","","",0.666666666666667,0,0.833333333333333,0.333333333333333,1,0.166666666666667,0,0,0,"11",18,291.4496312,0.5,0.5,0,0,1,0,0,0.833333333333333,0,2020-03-05,2008-11-04,1
"SearchCosts-11_S040","SearchCosts-11_S040","SearchCosts-11_S040","9/7/08",11.4914559125085,2,"3/11/20",1,2,"picked the biggest cans","4 picks: ? then biggest 3x  1 pick: biggest","",0.833333333333333,0.333333333333333,0.5,0.166666666666667,0.666666666666667,0.5,0,0,0,"11",18,295.5668863,0.555555555555556,0.444444444444444,0,0,1,0,0,0.166666666666667,0,2020-03-11,2008-09-07,1
"SearchCosts-5_S001","SearchCosts-5_S001","SearchCosts-5_S001","7/14/14",5.01982228298018,2,"7/24/19",1,2,"with all picks: consistently biggest to smallest, then biggest again  -never flipped over unknown","","",0,0,0,1,1,1,0,0,0,"5",18,252.7318975,0,1,0,1,0,0,0,0,0,2019-07-24,2014-07-14,1
"SearchCosts-5_S002","SearchCosts-5_S002","SearchCosts-5_S002","6/11/14",5.11278195488722,1,"7/25/19",1,2,"big cans first, then small cans  -choices seemed random, no specific pattern","","",0.666666666666667,0.5,1,0.333333333333333,0.333333333333333,0,0,0.166666666666667,0,"5",18,222.9402388,0.722222222222222,0.222222222222222,0.0555555555555555,1,0,0,0,0.5,1,2019-07-25,2014-06-11,1
"SearchCosts-5_S003","SearchCosts-5_S003","SearchCosts-5_S003","3/4/14",5.3943950786056,2,"7/29/19",1,1,"4 clicks: ""?"" then random other 3  1 click: ""?""","","",1,1,0.833333333333333,0,0,0,0,0,0.166666666666667,"5",18,208.1092412,0.944444444444444,0,0.0555555555555555,1,0,0,1,-0.166666666666667,0,2019-07-29,2014-03-04,1
"SearchCosts-5_S004","SearchCosts-5_S004","SearchCosts-5_S004","1/28/14",5.49282296650718,2,"7/30/19",1,2,"","4 clicks: either clicked all 4 or clicked biggest multiple times","",0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.5,0,0,0.166666666666667,"5",18,265.9327112,0.333333333333333,0.611111111111111,0.0555555555555555,1,0,0,0,0,0,2019-07-30,2014-01-28,1
"SearchCosts-5_S005","SearchCosts-5_S005","SearchCosts-5_S005","8/16/13",5.94395078605605,2,"7/30/19",1,2,"chose biggest multiple times","exploitative, biggest multiple times","",0.166666666666667,0,0.5,0.833333333333333,1,0.5,0,0,0,"5",18,291.8316462,0.222222222222222,0.777777777777778,0,1,0,0,0,0.5,0,2019-07-30,2013-08-16,1
